rater,dataset,journal,year,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readme,analysisPgrm,analysisCode,codeArchived,complScore,reuseScore,suppMat,notes
A,10,The American Naturalist,2012,0,meas/obs,table,4,.txt,1,0,R,1,0,1,1,0,"There is insufficient information in the data description boxes; several column headings are not explained and units are not specified. Some of the data are incomprehensible (e.g. date, time of day). It is extremely difficult if not impossible to identify what the archived data corresponds to in the paper; which data were used for which analyses (e.g. path analysis)? Several variables appear to be missing from the field data file: wing area and femur length (what does size correspond to?); number of spermatophores;  oviposition; initial female egg load. Discovered from reading the methods that the field variables are archived only in standardized format (see p 467 in the paper). What do the headings mean in host quality.txt? (fresh1, fresh2, height 1,height 2, …). Raw data are missing for ID of host plant species."
A,12,Evolution,2012,0,meas/obs,table,1,.xml,1,1,JMP; R,1,0,5,5,0,"The readme files are excellent. The data are identified for individual analyses, table and figures. All column headers and units are clearly spelled out. All the data for the analyses are archived."
A,19,Science,2012,-1,meas/obs,table,1,.csv,1,1,R,1,0,5,5,0,The readme file is clear and complete. All the data for the analyses are archived.
A,29,Journal of Evolutionary Biology,2012,0,meas/obs/gen,table,1,.xlsx,0,0,"Not specified (no mention of statistical package for MANOVA on morphological characters), Arlequin, Structure, Fstat, ",NA,0,1,1,1,There is no readme file or description of the data in the box provided on the Dryad website. There is no information on the identity of the seals for which the data are archived and no description of column headings or of the values entered. Some columns are missing headings. Genetic data: it appears that 8 microsatellite loci are archived for only 31 of the 338 porpoises sampled. The excel file indicates 'Norwegian Harbor Porpoise' but there are no data for porpoise from Danish and British waters. Morphological data: the authors measured sixteen characters on 462 porpoise skulls. These data are not archived. Allele frequency and heterozygosity data for microsatellite DNA loci are included as a word table in the supplementary material.
A,43,Journal of Evolutionary Biology,2012,1,meas/obs,table,7,.pdf,0,1,SPSS,1,0,5,2,0,The readme file is excellent. The column headings and units are clearly explained and neatly organized following the different subheadings in the methods section. All the data for the study are archived. Archived files are in pdf format rather than an easily re-usable format such as .csv or .txt.
A,56,Biology Letters,2013,-1,meas/obs,table,2,.xlsx,0,0,JMP,NA,0,4,3,0,"The text in the Dryad data description box is insufficient to make sense of the archived data without referring to the paper. All the data for the analyses are available. Raw values of bib area measurements for each observer are not archived, which prevents measurement error but not reuse."
A,69,The American Naturalist,2013,0,meas/obs,table,1,.csv,1,1,R,1,0,2,5,0,"The reame file describes the column headings and units adequately. Some data (frequencies) are not archived but presented in the paper: substrate background recorded for 82 calling males across June–August  2011 to determine common perch site substrates. Replicate measurements are not archived: spectral reflectance measurements taken at the head and dorsum (two measurements per region, four measurements per frog); photoreceptor cone absorptance. Data on photoreceptor cone absorptance are not archived (used to calculate Photoreceptor quantum catch Qc for target (frog) or background (substrate) radiance); authors state that they have been described previously in Cummings et al. 2008; Maan and Cummings 2009, 2012."
A,92,Evolution,2013,0,meas/obs,table,4,".txt, .rtf",0,0,R,1,some,4,5,0,"Readme files: the wrong readme file is archived for ""female_length.txt""; the readme file for ""Simulations.rtf"" is incomplete (although this is code). The data for the analyses are available although the supplementary material (a table presenting results from tests) are difficult to open/read. Was only able to read from a thumbnail image. Averages are based on repeated measurements of the same trait; these raw data are not archived but not essential for reuse (other than for estimating measurement error)."
A,96,Evolutionary Applications,2013,0,meas/obs,table,1,.xls,0,0,SAS,1,0,4,3,0,"There is no readme file and the text in the Dryad descrition box is insufficient to make sense of the column headings, unit and abbreviations without reading the paper. All the data for the analyses are archived. Raw data  to caluclate fitness and performance   are not available."
A,98,The American Naturalist,2013,0,meas/obs,table,5,".xls, .txt",0,1,R,1,some,5,3,1,"Readme files are clear. All the data for the analyses are archived although the raw data for the parentage analysis and the data to compute the weighted averages are not provided. The code for some, but not all, of the analyses is archived. Data are included as a pdf in the supplementary material."
B,10,The American Naturalist,2012,0,meas/obs,table,4,.txt,1,0,R,1,0,2,1,0,"No column units in the readme for the archived files. Raw data like egg counts, etc. are not archived, but analyses are done on derived measures (i.e. potential fecundity, etc.); measures like time of day are not in a format that can be understood from the data description provided; other column headings are difficult to match up with the description in the text."
B,12,Evolution,2012,0,mes/genetic,table,2,.xml,1,1,"JMP, R",1,0,5,4,0,"Very good metadata file (one mistake in refering to the equation used in the MS (ref to calculation using equ2 should be equ1 and vice versa)), includes some of the raw data (i.e. leaf area and relative leaf area ), but some additional genetic data could be included (only NRQ pesent, which was used in the analyses)."
B,19,Science,2012,-1,measures,table,1,.csv,1,1,R,1,0,5,5,0,Metadata are informative. Supp mat has details of what was measured. All the date for the analyses are archived.
B,29,Journal of Evolutionary Biology,2012,0,meas/genetic data,table,1,.xls,0,0,"Structure, Fstat, Arlequin",NA,0,1,1,1,"Missing morphological data. Supplemental material had details on the traits measured that are not in the manunscript. Microsat data are archived but there is no metadata and the file is meaningless (no info re which population the sample came from, column headings are not described)."
B,43,Journal of Evolutionary Biology,2012,1,meas,table,7,.pdf,0,1,SPSS,1,0,4,2,0,"Derived data for some analyses only (only total embryo production, not weight or number), some terms in the data file used to describe the columns are not in the manuscript text (e.g. mictic, amictic), but can be infered; readme is generally good but some column names do not match up with the text making it a bit difficult to follow for analysis. The data are in .pdf format "
B,56,Biology Letters,2013,-1,meas/obs,"table, image",2,.xlsx,0,0,JMP,NA,0,4,3,0,The metadata in the Dryad description box are limited; it is necessary to read the paper to understand the abbreviations used in the column headings. The data for the analyses are archived but the raw data are not: there is one mean bib area estimate per observer rather than the measures from all three photos used to get the mean estimate. This does not prevent reanalysis or reuse other than to obtain measurement error.
B,69,The American Naturalist,2013,0,meas/obs,table,1,.csv,1,1,R,1,0,2,5,0,"The readme file is sufficient. The means for frogs are presented but data for the predators are missing (needed for figs 1, 2).  The percent reflectance for each frog at each wavelength is available but not brightness or other derived measures. The data for the supplementary figures are also missing. The data that is archived could easily be reused."
B,92,Evolution,2013,0,meas/obs/simulations,table,4,".txt, .rtf",0,0,R,1,some,4,5,0,"The readme files are complete but the wrong file is archived for female traits. The data files used directly in the analyses are not archived, but values can be calculated based on the description in the text. All the data necessary to reproduce the analyses are archived."
B,96,Evolutionary Applications,2013,0,meas/obs,table,1,.xls,0,0,SAS,1,0,4,3,0,"There is no readme file. The text in the Dryad description box and the column headings can be used to make sense of the files, but there is no description of how fitness was estimated, etc. The paper needs to be read to obtain this information. All the data needed to reproduce the analyses are archived. The raw data needed to caluclate fitness and performance measures (i.e. number of seeds produced, survival, etc.) are not given."
B,98,The American Naturalist,2013,0,meas/obs,table,5,.txt,1,1,R,1,1,5,4,1,"Excellent readme files and data description in designated Dryad box. The abbreviation and units are clearly specified in the Excel spreadsheets. All the data for the analyses are archived. The R code for some of the analyses is archived but has some  errors (e.g.: 95% CI for pred_STW3 are those used for pred_STW2, object 'STW12_Survival' not found). It is unclear where the simulation to approximate confidence intervals for optimal egg size estimates is. The code to examine the relationship between egg size and environmental quality and environmental growth models (model selection approach) is not provided. The raw data for the parentage analysis are not archived and the raw values used to calculate the weighted averages are also not provided. Data on offspring releases by dam, offspring cross type, and stream are archived as a pdf table in the electronic supplement material."
C,10,The American Naturalist,2012,0,meas/obs,table,4,.txt,1,0,R; Winmodest,1,0,2,1,0,"A mixture of raw and processed data has been archived; however, most column headings are not understandable. It is unclear what some measurements refer to. No metadata provided and file descriptions are insufficient. Units and abbreviations are not provided. Some column headings  are still unclear, even after reading the paper. "
