JIF,JIF_rank,adopt_early time period (%age),adopt_late time period (%age),av_adopt
2.507,12,1.4285714,10,5.7142857
2.565,11,0,3.125,1.5625
3.536,8,1.1904762,1.1904762,1.1904762
4.907,4,2.7027027,2.5974026,2.65005265
4.078,7,0,2.1276596,1.0638298
3.494,9,0,66.6666667,33.33333335
1.873,14,0,3.4883721,1.74418605
4.642,5,2.2222222,1.1363636,1.6792929
4.107,6,3.1578947,12,7.6395534
2.87,10,5.4794521,33.3333333,19.4063927
5.733,2,2.4096386,19.047619,10.7286288
0.942,15,3.3898305,7.2727273,5.3312789
5.523,3,2.2222222,0,1.1111111
6.128,1,15.3846154,80,47.6923077
2.19,13,4.1666667,5.263158,4.71491235
 , , , , 
