dataset,journal,field,yearPub,yearSam,DOI of paper,URL for data,suppMat,date of checking,checked by,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readmeFile,readme,units of measurement,analysisPgrm,analysisCode,codeArchived,missing data,"additional data to paper (finer-grain, alternative variables, etc)",participants,state of data,complScore,reuseScore,Alt_completeness,Alt_File Format,Alt_Metadata,notes
1,Journal of Experimental Psychology: General,1,2017,2016-2017,not made public,masked - separate file details address formats,1,5.7.18,AT,0,meas/obs,table,5,.csv,1,0,NA,NA,R,1,0,0,0,1,raw,2,1,2,4,1,"Judgements based on study 1 of several (but the data files are similar). No codebook, some inferences about the design can be made from the paper but not confident. Discussed among author team."
2,Developmental Science,3,2017,2016-2017,not made public,masked - separate file details address formats,0,17.7.18,AT,0,meas/obs,table,4,.csv,1,0,NA,NA,R,1,1,0,1,unknown,raw,2,1,2,4,1,"No readme/codebook for metadata; comprehensive, well organised data but no data descriptors. There is an R file, viewable online. Participant numbers do not add up to those in paper. Some inferences could be made from the paper as to what the column headings mean but with limited confidence. Not all data could be viewed due to poor organisation (e.g., nonsalient file had over 600,000 rows). Analysis could not be redone. Discussed among author team"
3,Psychological Science,1,2017,2016-2017,not made public,masked - separate file details address formats,0,3.8.18,AT,0,meas/obs,table,11,".csv, .xlsx",1,1,1,2,"R for t-tests, not specified for ANOVAs",0,1,0,1,1*,raw,4,4,4,4,3,"Experiment 1a (of 4). All data available in non-proprietary files (one .csv per condition and summary files). Well organised, well labelled with good codebook. Not all units of measurement / categories identified but sensible assumptions can be made (e.g., RTs in seconds). Confident that analysis can be repeated. *Summary file had accurate number of participants, 3/4 condition raw data files had correct number of participants, one had too many."
4,Psychological Science,1,2017,2016-2017,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,6,.dta,0,1,1,1,Stata,NA,NA,0,0,unknown,raw,5,4,4,2,4,"Complete dataset (assume all participants, can not confirm sample size outside of STATA) with exemplary codebook. Datafile is .dta (only readable by stata) but viewable on OSF website."
5,Psychological Science,1,2016,2016-2017,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,1,.mat,0,1,1,0,MatLab,1,1,0,0,1,raw,5,4,4,2,4,"Data archived on author's personal website. The readme indicated that the data are stored in the file starter.mat. Once opened this revealled 8 further files which we were able to convert to text files in order to be able to read. Alongside the readme, these files are clear and complete. There are 32 further MatLab files which may open into even more files. The paper refers to these files  and suggests more detailed data regarding the brain scans (e.g., gamma distributions and brain signiatures) are available. Scores have been based mostly on the behavioural data, the data that is in the starter file and what I understand of its mapping. I am not confident about this one. "
6,Psychological Science,1,2016,2016-2017,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,3,.csv,1,1,1,1,unknown t-tests and chi-squared,NA,NA,0,0,1,raw,5,5,4,4,4,"Experiment 1 (of 3) Complete dataset, archived in a non-proprietary format, useful codebook,  possible to analyse data without paper."
7,Psychological Science,1,2015,2014-2015,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,4,.tab,1,0,NA,NA,"unknown, heirarchical regression",NA,0,0,0,1,raw,4,4,4,4,2,Experiment 1 (of 4). Tab separated file. No codebook. Useful information in the paper and additional materials about the data (including values) so sensible assumptions can be made about the data. 
8,Psychological Science,1,2015,2014-2015,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,21,.xls,0,1,0,2,"unknown, t-tests",NA,NA,0,1,1,raw,4,3,4,3,2,"Experiment 1 (of 10). .xls file for each participant (proprietary). Readme limited value but key data can be identified using readme + paper. 250 experimental trials as rows, 22 columns of info per trial, some info is repeated, but comprehensive data. "
9,Psychological Science,1,2015,2014-2015,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,5,.txt,1,0,NA,NA,R,1,1,unknown,unknown,unknown,raw (probably),1,1,1,4,1,"Both experiments. Lots of data in five text files. Not labelled, no readme. Unintelligible. "
10,Psychological Science,1,2014,2014-2015,not made public,masked - separate file details address formats,0,7.8.18,AT,0,meas/obs,table,1,.dta,0,0,NA,NA,Stata,NA,NA,0,1,1,raw,4,4,4,2,3,"Single experiment, well lablled .dta (proprietary, STATA) file viewable on OSF. Can be understood in isolation from the paper despite no readme. This is a commentary paper with extra data to help illustrate their point. "
11,Journal of Experimental Social Psychology,2,2016,2016-2017,not made public,masked - separate file details address formats,0,22.11.18,AT,0,,,,,,,,,,,,,,,,0,0,0,0,0,Link to OSF - no files found
12,Journal of Experimental Social Psychology,2,2017,2016-2017,not made public,masked - separate file details address formats,1,16.8.18,AT,0,meas/obs,table,1,.xlsx,0,0,NA,NA,R,0,0,0,0,1,raw  ,4,3,4,3,3,"Meta-analysis. No readme, but column headings understandable alone. Proprietary file. Raw data in the sense that these data are those that are used for the analysis (they are processed in the sense of being extracted and transfomed from values drawn from previous studies)."
13,Journal of Experimental Social Psychology,2,2016,2016-2017,not made public,masked - separate file details address formats,1,16.8.18/20.5.19,AT,0,meas/obs,table,4,.azk,1*,0,NA,NA,unknown,NA,NA,1,0,2,raw,1,1,1,3,1,"One file for each participant, including excluded participant (We don't know which one was excluded). *Data is recorded in a .azk file, accessible through a text editor. Data not labelled and number of rows doesn't tie in with number of trials and couldn't identify some variables described in the paper. "
14,Journal of Experimental Social Psychology,2,2016,2016-2017,not made public,masked - separate file details address formats,1,16.8.18,AT,0,meas/obs,table,3,.txt,1,0,NA,NA,R,0,0,0,0,2,raw,4,4,4,4,2,Experiment 1 (of 3). Data clear in an accessible format. No readme but can understood alongside the paper. Some participants removed from analysis but remain in the datafile.
15,Journal of Experimental Social Psychology,2,2015,2014-2015,not made public,masked - separate file details address formats,0,17.12.18 / 31.5.19,AT,0,meas/obs,table,3,.xlsx,0,0,NA,NA,Unknown,NA,NA,1,0,1,raw,4,3,4,3,2,"Experiment 1 (of 2). Files available as supplemental data and in a repository. Well labelled, minor ommision in labelling, but understandable with paper. "
16,Journal of Experimental Social Psychology,2,2015,2014-2015,not made public,masked - separate file details address formats,0,11.9.18,AT,0,meas/obs,table,100s,".xls, .csv, .txt, .sav",1,0,NA,NA,Unknown,0,0,unknown,Probably,unknown,raw,1,1,1,3,1,Hundreds of files categorised as 'data' and 'raw data' hard to make any sense of them. 
17,Journal of Experimental Social Psychology,2,2014,2014-2015,not made public,masked - separate file details address formats,1,11.9.18/17.5.19,AT,0,meas/obs,table,3,.sav,0,0,NA,NA,Unknown,NA,NA,0,1,2,raw,2,3,2,2,2,"Experiment 1a (of 3). More participants in datafile than reported in experiment - no mention of exclusion. No readme but columns well labelled with some value details,  could be understood in line with the paper. "
18,Journal of Experimental Social Psychology,2,2014,2014-2015,not made public,masked - separate file details address formats,0,11.9.18,AT,0,meas/obs,table,3,.xlsx,0,0,NA,NA,Unknown,NA,NA,0,0,2,raw,4,3,4,2,2,"This file has more participants than reported, but the exclusion criteria are clear. Well labelled data with some details in variable view, no scale for ratings, but fully understandable with the paper. Proprietary format."
19,Developmental Science,3,2016,2016-2017,not made public,masked - separate file details address formats,0,15.10.18,AT(JT),,,,,,,,,,,,,,,,,0,0,0,0,0,"Acknowledgements state: ""Materials and data from this study are available at..."" but there's nothing at that address."
